,graphic novels,cartoons and comics,humorous stories,mystery fiction,stories in rhyme juvenile fiction,friendship fiction,schools fiction,comic books strips etc,fantasy fiction,dogs fiction,animals fiction,cats juvenile fiction,suspense fiction,magic fiction,stories in rhyme,historical fiction,mice juvenile fiction,domestic fiction,brothers and sisters fiction,psychological fiction,comics graphic works,friendship juvenile fiction,bears juvenile fiction,picture books,mystery and detective stories
201104,6725,1198,3658,6478,4261,2679,2022,151,3627,1899,1531,735,2683,1961,785,1554,1011,1702,1003,1021,,117,694,18,583
201105,6284,1156,3252,6570,3865,2497,1812,278,3454,1945,1419,753,2397,1909,731,1567,869,1583,874,876,,117,653,18,583
201106,9691,1316,5230,7219,4873,3887,2819,287,4663,2793,1770,1121,2679,2745,892,1878,1070,2013,1211,1176,,226,823,21,945
201107,9635,1340,4742,7185,4602,3789,2825,306,4393,2690,1597,1059,2693,2641,772,1723,1123,2128,1201,1106,,154,737,35,965
201108,8621,1273,4160,7688,3913,3210,2534,194,4298,1933,1494,861,2749,2297,780,1949,904,2157,948,1287,,127,629,,650
201109,4020,801,2697,4519,3644,2453,1497,96,2435,1555,1188,857,1867,1558,675,1260,677,1285,711,844,,106,537,,434
201110,6205,930,3717,5632,5281,3332,2191,163,3513,2114,1577,895,2222,1749,866,1697,1029,1572,926,1073,,192,704,,482
201111,5129,1385,3386,5032,4309,2913,1853,148,3416,1999,1445,849,1853,1546,755,1681,953,1312,799,1118,,208,687,,389
201112,4984,1385,2884,5586,3280,2708,1478,130,3346,1493,1174,725,1934,1436,615,1718,796,1246,612,1175,,157,691,,342
201201,3256,1044,2722,5059,3731,2650,1621,71,2729,1682,1194,727,1861,1263,819,1341,599,947,537,1118,,192,637,,390
201202,3856,1243,2908,5420,3725,2884,1676,100,2760,1778,1220,774,1652,1256,942,1303,774,1007,573,1073,,167,648,,477
201203,5589,1139,3864,6251,4702,3719,1922,131,3398,2103,1549,918,2063,1699,1294,1476,823,1264,965,1161,,155,907,,533
201204,5899,1258,3619,5877,4212,3434,1868,122,3187,2008,1345,861,2031,1557,1088,1469,778,1044,892,1024,,197,780,,508
201205,6399,1377,3860,6220,4457,3873,2047,118,3285,1924,1448,958,2188,1663,1125,1659,863,1171,854,1262,,174,802,,468
201206,9226,1626,5336,6222,5539,4721,2970,134,4164,2713,1746,1310,2384,2221,1363,1942,1193,1461,1077,1256,,216,983,,892
201207,11397,1737,5913,6960,5697,5101,3737,253,4825,2890,1740,1433,2683,2676,1375,2010,1264,1764,1270,1364,,223,996,,1225
201208,7365,1380,3602,5621,3644,3129,2385,142,3463,1699,1123,769,2081,1741,1022,1535,892,1276,875,1036,,147,648,,541
201209,5114,1001,3676,4773,4532,3444,2067,47,2823,1949,1229,1037,1778,1394,1017,1575,868,1097,770,780,,153,720,,412
201210,7125,1273,5723,6513,7379,4972,3001,197,3910,2821,1822,1531,2349,1973,1333,1970,1433,1843,1014,1134,,198,1094,,1048
201211,7610,1238,4966,5961,5977,4611,2520,167,3972,2532,1715,1236,2106,2009,1143,1855,1176,1732,1046,998,,190,1141,,1230
201212,6848,1249,3945,6236,4079,3478,1758,142,3844,1896,1311,901,2208,1706,902,1811,1043,1627,770,886,,126,829,,881
201301,8501,1993,5543,7295,6387,5221,2953,188,4573,2882,1956,1267,2371,2095,1200,2241,1466,1620,970,1110,,204,1126,,1191
201302,6688,1763,4927,5853,5269,4579,2310,127,3526,2373,1630,1043,1961,1864,1143,1900,1162,1609,881,864,,174,919,,1049
201303,8789,1874,5655,6809,6238,5313,2472,163,4103,2567,1827,1240,2173,1977,1218,2089,1413,1619,954,959,,197,1106,,1316
201304,8871,1817,5882,6270,5391,4807,2830,156,4050,2509,1651,1219,2082,1857,1090,1951,1295,1608,948,841,,163,953,,1032
201305,8481,1729,5254,6706,4922,4791,2440,153,3646,2297,1531,1068,2037,1906,1046,1929,1143,1682,778,941,,213,914,,1138
201306,12123,2048,7458,7276,5886,6409,3916,165,4977,3308,1852,1625,2473,2422,1223,2229,1531,2010,1197,1099,,285,958,,1829
201307,12882,1999,7114,7450,6066,6345,3838,145,5288,3374,1924,1457,2768,2516,1200,2195,1570,2157,1311,1140,,254,917,,1773
201308,12687,1950,6472,7721,5416,6090,3525,129,5237,2990,1779,1352,3145,2159,1147,2331,1556,2054,1260,1017,,259,866,,1503
201309,8788,1526,6129,6797,6377,5718,3231,102,4203,2774,1988,1482,2920,2002,1110,1961,1551,1898,1149,818,,250,988,,1004
201310,7997,1490,6577,7139,7046,5868,3247,94,4004,2959,2013,1747,3004,1918,1204,1940,1692,1831,1157,718,,273,1155,,1035
201311,8774,1513,6343,6853,6101,5333,3041,95,4328,2831,2051,1688,2954,2061,1202,2096,1647,1610,1017,679,,268,1141,,900
201312,7008,1264,4341,6229,4081,4059,1962,65,3468,1878,1379,1200,2834,1636,820,2198,1336,1517,892,575,,195,977,,616
201401,8421,1360,5821,6932,6104,5855,3010,89,4174,2703,2079,1658,3111,1977,1163,2556,1549,1538,1170,747,,260,1180,,783
201402,5975,1087,5066,5623,4950,4491,2555,73,3005,2427,1644,1271,2530,1689,1088,2105,1325,1132,925,522,,197,929,,600
201403,8766,1357,6365,6398,6585,6026,3115,70,4236,3241,2200,1744,3209,2719,1395,2557,1853,1413,1255,750,,231,1225,,791
201404,7700,1151,5165,5777,4700,4834,2256,82,3601,2497,1523,1334,2788,2365,987,2277,1457,1592,1065,681,,255,860,,585
201405,8399,1294,5182,5666,4468,4729,2316,89,3388,2448,1698,1378,2649,2293,1026,2113,1516,1500,1027,837,,248,857,,712
201406,9693,1335,6201,5756,4848,5878,3307,155,4414,2982,1692,1508,3032,3100,1198,2198,1599,1712,1387,902,,347,977,,1197
201407,10770,1380,6289,6297,4738,6030,3226,146,4649,3058,1956,1775,3252,3713,1309,2209,1810,2028,1226,897,,327,988,,1097
201408,10585,1510,5916,6696,4390,5758,3207,164,4501,2449,1889,1477,3155,3369,1311,2247,1650,1906,1130,754,,277,934,,885
201409,7503,1834,5724,5624,4921,5297,2619,131,3564,2425,1852,1626,2714,2777,1372,2147,1556,1636,970,628,,296,965,,626
201410,7519,1958,6068,5995,5513,5902,2763,168,3458,2824,1883,1981,2701,2701,1539,2454,1766,1722,1130,629,,445,947,,775
201411,7706,1855,5848,5668,4759,5350,2603,182,3130,2779,1929,1707,2403,2756,1444,2270,1997,1525,1077,537,,416,963,,760
201412,6498,1829,4641,5539,2961,4071,1511,90,2766,1597,1467,1233,2305,2248,1133,2305,1608,1659,664,645,,304,779,,403
201501,7347,1909,5679,5696,4020,5903,2315,111,3099,2484,1909,1577,2427,2594,1521,2540,1621,1674,1007,716,,346,895,,610
201502,5728,1747,4924,4599,3434,4594,1827,150,2340,1820,1585,1263,2174,2241,1486,2065,1511,1438,674,573,,283,709,,741
201503,9158,1962,6188,5590,4247,5979,2237,179,3082,2534,1946,1636,2469,2836,1879,2843,1961,1910,1068,817,,421,987,,1147
201504,8354,1835,5820,5265,3290,5030,1926,133,3008,2115,1642,1347,2104,2449,1507,2751,1776,1661,844,832,,400,713,,883
201505,8766,1864,5928,4763,2873,4711,1866,140,2622,1847,1353,1314,2089,2273,1406,2523,1694,1480,726,707,,347,632,,930
201506,8418,1668,5264,3704,1970,4378,1957,169,2576,1649,1126,1085,1985,2425,1090,2105,1657,1434,676,581,,323,513,,940
201507,12635,2148,7386,4942,3349,6182,2593,174,3587,2284,1646,1521,2787,3243,1539,2726,2263,1869,1001,813,12,499,787,,1384
201508,12493,2036,7275,5307,3107,5863,2962,174,3451,2163,1665,1412,2774,3274,1679,2754,2239,1876,1008,883,24,416,710,,1124
